usage_id,customer_id,usage_time,data_mb,app_type
U57,177,2026-03-11 14:24:02.349035,202.56,Instagram
U58,972,2026-02-15 08:55:29.835032,150.3,YouTube
U59,840,2026-03-03 05:30:34.965236,356.8,Instagram
U60,618,2026-03-30 03:22:57.170171,159.84,WhatsApp
U61,227,2026-02-26 12:13:38.880392,236.89,Instagram
U62,905,2026-03-30 15:00:34.865631,70.26,WhatsApp
U63,753,2026-02-22 15:31:33.241671,453.23,YouTube
U64,963,2026-04-04 14:32:55.078094,492.38,YouTube
U65,721,2026-03-16 03:56:12.410042,14.68,Browsing
U66,394,2026-01-21 16:37:11.481122,417.52,Netflix
U67,684,2026-01-21 11:37:34.421040,151.45,Instagram
U68,748,2026-01-28 01:52:10.808789,443.55,Netflix
U69,293,2026-01-23 00:40:50.591028,34.56,Instagram
U70,306,2026-01-19 02:30:40.722005,302.31,Browsing
U71,658,2026-02-12 18:10:54.425951,10.62,YouTube
U72,119,2026-03-05 19:23:08.275974,331.07,WhatsApp
U73,730,2026-02-06 03:26:03.882038,57.39,YouTube
U74,286,2026-03-18 12:41:41.753265,275.06,Browsing
U75,497,2026-02-18 17:06:39.526344,187.04,Netflix
U76,725,2026-03-28 23:49:07.249084,466.89,Netflix
U77,354,2026-01-26 07:21:48.388216,45.69,WhatsApp
U78,197,2026-03-01 16:59:13.118701,151.84,WhatsApp
U79,695,2026-02-14 02:15:02.866472,159.31,Browsing
U80,472,2026-03-30 18:54:12.620397,146.11,YouTube
U81,951,2026-03-20 10:06:59.565859,287.43,Netflix
U82,59,2026-02-11 02:55:58.493541,252.19,WhatsApp
U83,747,2026-03-12 12:55:35.723564,165.41,WhatsApp
U84,289,2026-03-16 11:48:51.244208,185.78,Browsing
U85,592,2026-02-13 16:56:53.979294,267.67,WhatsApp
U86,687,2026-03-11 09:26:43.898946,423.03,WhatsApp
U87,182,2026-03-09 08:12:03.570663,125.67,Instagram
U88,73,2026-02-11 06:51:51.184649,374.21,YouTube
U89,106,2026-04-01 11:07:45.949071,70.18,Netflix
U90,395,2026-03-25 19:30:32.061224,395.29,Browsing
U91,832,2026-03-30 21:35:28.163765,19.18,WhatsApp
U92,499,2026-02-12 03:53:05.984216,242.57,WhatsApp
U93,111,2026-03-06 09:43:40.213059,321.6,Browsing
U94,266,2026-02-13 05:47:03.179001,323.38,Instagram
U95,424,2026-03-27 21:32:47.958768,66.73,Browsing
U96,45,2026-01-14 08:45:40.182035,236.47,WhatsApp
U97,370,2026-01-31 06:18:30.170291,296.23,WhatsApp
U98,517,2026-02-15 13:18:39.378518,452.5,WhatsApp
U99,261,2026-02-07 05:03:06.564760,210.17,WhatsApp
U100,814,2026-01-30 07:52:50.303335,85.91,Instagram
U101,138,2026-01-14 07:48:15.230017,292.1,Instagram
U102,84,2026-01-16 08:55:17.567968,32.82,Instagram
U103,831,2026-02-05 01:40:46.869362,13.33,Netflix
U104,898,2026-03-21 14:25:11.530343,139.24,WhatsApp
U105,266,2026-03-06 11:21:07.568341,269.12,Browsing
U106,580,2026-02-25 19:31:07.048837,483.48,Netflix
U107,170,2026-01-27 00:12:17.467678,193.64,Instagram
U108,164,2026-01-12 00:57:00.944580,387.17,Browsing
U109,559,2026-03-23 00:57:09.620461,366.4,Browsing
U110,644,2026-01-03 15:48:21.625851,26.26,Netflix
U111,936,2026-02-12 14:51:01.780180,421.76,Instagram
U112,577,2026-02-01 00:41:18.618230,288.24,YouTube
U113,175,2026-04-05 08:32:21.369404,1.43,Browsing
U114,334,2026-03-25 21:34:42.828825,285.21,Instagram
U115,131,2026-02-15 14:13:54.029311,354.81,YouTube
U116,272,2026-01-06 10:12:11.967811,144.42,YouTube
U117,741,2026-03-16 03:36:34.987515,268.98,YouTube
U118,140,2026-01-31 18:07:28.165867,432.04,YouTube
U119,141,2026-02-18 02:32:10.283981,123.86,YouTube
U120,548,2026-03-27 20:20:44.904890,392.54,WhatsApp
U121,576,2026-02-09 06:59:34.475649,431.44,YouTube
U122,302,2026-02-14 11:29:21.935250,368.76,Browsing
U123,628,2026-02-03 05:22:10.283925,311.96,Browsing
U124,342,2026-02-02 00:40:05.372929,422.64,WhatsApp
U125,249,2026-02-21 04:27:26.988993,369.2,YouTube
U126,531,2026-02-13 06:03:58.393507,184.9,WhatsApp
U127,200,2026-01-05 02:34:23.574865,260.73,Browsing
U128,9,2026-03-26 05:27:15.044984,79.33,YouTube
U129,960,2026-01-03 03:31:44.345533,330.04,YouTube
U130,224,2026-02-14 17:10:06.502453,185.75,YouTube
U131,210,2026-01-21 15:16:46.143360,40.35,Browsing
U132,601,2026-03-11 03:31:36.350331,320.54,WhatsApp
U133,720,2026-03-24 02:15:53.502956,431.1,Browsing
U134,87,2026-01-14 16:10:22.382423,391.17,WhatsApp
U135,257,2026-03-22 17:00:56.937895,493.9,YouTube
U136,596,2026-02-26 12:41:11.828366,483.63,WhatsApp
U137,476,2026-02-02 16:32:05.798255,149.48,Netflix
U138,300,2026-01-15 15:01:32.440860,29.39,Netflix
U139,176,2026-04-04 12:09:12.252154,63.08,Netflix
U140,623,2026-03-06 23:26:16.226766,42.34,Netflix
U141,177,2026-03-19 04:40:29.583138,180.95,Netflix
U142,873,2026-02-10 03:19:31.426364,261.68,WhatsApp
U143,985,2026-02-26 23:33:19.171167,383.62,WhatsApp
U144,309,2026-01-06 20:49:10.332048,232.26,Instagram
U145,700,2026-01-11 14:03:58.897221,399.38,Netflix
U146,130,2026-02-20 01:46:26.749636,468.8,YouTube
U147,235,2026-02-28 02:35:52.506278,453.32,YouTube
U148,599,2026-02-25 12:26:26.768196,87.33,YouTube
U149,828,2026-01-18 03:42:22.758640,429.18,WhatsApp
U150,520,2026-01-20 13:37:13.063370,258.88,Browsing
U151,382,2026-03-28 04:50:39.515127,61.58,Netflix
U152,588,2026-01-21 08:54:02.178491,285.98,WhatsApp
U153,681,2026-02-17 17:31:08.369349,266.4,Instagram
U154,149,2026-02-03 06:40:06.475501,210.59,Netflix
U155,847,2026-01-07 23:28:05.987888,178.43,WhatsApp
U156,363,2026-03-29 20:05:17.172558,463.81,YouTube
U157,857,2026-03-06 22:17:44.123141,298.47,Instagram
U158,823,2026-01-12 19:12:34.907046,485.87,Browsing
U159,22,2026-02-06 02:34:12.572278,336.49,Browsing
U160,643,2026-01-07 05:47:19.455282,301.87,WhatsApp
U161,761,2026-01-12 10:18:17.723855,284.19,WhatsApp
U162,457,2026-01-04 22:28:22.820307,29.55,YouTube
U163,41,2026-02-03 14:34:30.860059,234.29,Browsing
U164,899,2026-02-18 19:58:49.400260,316.88,WhatsApp
U165,607,2026-03-16 03:26:14.002807,457.99,Browsing
U166,905,2026-02-27 09:37:34.887969,165.06,Instagram
U167,489,2026-03-24 07:18:12.964582,13.11,WhatsApp
U168,594,2026-03-16 00:06:06.905893,454.47,Browsing
U169,146,2026-03-05 09:26:59.265129,386.16,Instagram
U170,229,2026-01-26 08:06:14.900135,416.15,Netflix
U171,852,2026-03-26 14:04:00.519118,146.04,Instagram
U172,511,2026-01-13 15:30:07.502081,440.86,Browsing
U173,597,2026-01-15 17:10:23.754170,121.6,WhatsApp
U174,247,2026-02-08 10:18:20.555134,84.61,Instagram
U175,357,2026-03-15 12:34:37.446679,230.38,Browsing
U176,763,2026-01-06 11:02:58.170580,15.6,Netflix
U177,335,2026-01-11 11:05:30.037264,121.29,Browsing
U178,203,2026-01-03 23:10:24.023287,432.51,Netflix
U179,62,2026-03-22 20:22:06.856340,166.84,Netflix
U180,509,2026-01-30 14:30:43.076146,423.9,WhatsApp
U181,901,2026-01-22 04:03:22.132893,348.94,WhatsApp
U182,55,2026-01-16 21:18:54.198491,466.88,Instagram
U183,127,2026-03-04 00:30:03.146619,115.18,Instagram
U184,289,2026-02-19 23:27:32.583814,328.37,Instagram
U185,317,2026-02-20 08:11:54.025959,218.68,Instagram
U186,850,2026-02-21 03:44:53.815580,54.22,Instagram
U187,243,2026-03-23 17:50:53.397508,247.8,Instagram
U188,859,2026-01-12 10:02:48.277697,4.94,YouTube
U189,922,2026-01-04 22:14:31.345371,27.19,YouTube
U190,540,2026-02-16 03:56:46.298691,437.11,YouTube
U191,486,2026-02-23 11:17:26.445082,202.9,YouTube
U192,704,2026-03-02 12:33:53.033520,422.04,Netflix
U193,929,2026-01-12 21:47:22.229984,209.27,WhatsApp
U194,928,2026-02-23 19:23:50.937587,335.32,WhatsApp
U195,741,2026-01-30 09:01:37.173698,359.58,WhatsApp
U196,472,2026-03-01 04:28:35.542059,368.38,Netflix
U197,351,2026-03-22 20:41:33.613190,363.89,YouTube
U198,367,2026-02-05 22:28:11.486682,32.34,Instagram
U199,607,2026-01-09 15:44:06.149994,183.23,YouTube
U200,339,2026-02-09 18:02:27.850879,97.49,WhatsApp
U201,785,2026-02-23 05:43:40.848961,425.6,Browsing
U202,560,2026-03-26 06:20:46.503102,73.12,Instagram
U203,978,2026-02-10 18:30:37.834987,214.52,Browsing
U204,560,2026-01-17 14:19:23.956259,31.39,Instagram
U205,521,2026-03-15 09:57:15.923085,314.02,Instagram
U206,398,2026-01-03 14:54:10.966147,85.11,YouTube
U207,856,2026-03-31 17:28:24.320088,192.84,Netflix
U208,831,2026-03-30 14:26:27.991645,57.51,Instagram
U209,195,2026-01-21 13:03:08.340002,494.85,Instagram
U210,681,2026-02-17 15:48:27.193999,120.64,WhatsApp
U211,843,2026-03-30 01:43:54.953483,262.39,Netflix
U212,787,2026-02-19 01:59:59.583217,279.91,Netflix
U213,852,2026-03-10 08:43:29.212848,352.71,Browsing
U214,382,2026-03-01 04:49:16.580799,98.71,WhatsApp
U215,909,2026-03-10 23:47:18.155474,417.81,YouTube
U216,857,2026-03-08 06:05:51.124758,80.1,WhatsApp
U217,782,2026-03-22 11:42:09.879126,485.36,WhatsApp
U218,727,2026-02-02 21:54:14.331831,150.29,Netflix
U219,127,2026-03-08 22:13:35.174831,275.23,Netflix
U220,112,2026-04-03 13:09:43.902729,301.69,WhatsApp
U221,862,2026-02-23 14:54:35.880517,211.74,Browsing
U222,921,2026-02-13 11:29:20.111909,130.06,Instagram
U223,233,2026-02-25 02:02:15.477079,275.46,Instagram
U224,170,2026-03-03 08:40:32.295467,405.79,Netflix
U225,446,2026-03-15 18:46:51.199131,165.37,WhatsApp
U226,168,2026-03-27 15:23:34.634911,474.89,Instagram
U227,16,2026-01-05 17:30:36.369588,257.18,Netflix
U228,46,2026-02-22 05:40:24.895412,54.6,Instagram
U229,445,2026-02-20 22:27:08.070898,105.49,Instagram
U230,856,2026-01-03 11:24:07.996047,286.55,YouTube
U231,73,2026-03-07 16:36:34.884159,178.57,Netflix
U232,120,2026-01-08 15:32:11.272949,318.14,WhatsApp
U233,652,2026-01-21 08:24:46.411496,119.89,YouTube
U234,838,2026-02-12 17:47:58.287031,331.68,WhatsApp
U235,412,2026-01-29 20:50:33.804520,435.01,Instagram
U236,861,2026-02-07 05:49:29.379308,94.81,YouTube
U237,745,2026-02-19 13:25:24.021503,473.12,Browsing
U238,952,2026-01-11 07:13:01.207619,375.96,Netflix
U239,560,2026-01-09 04:44:35.824850,275.12,Instagram
U240,664,2026-01-29 16:18:01.412148,243.91,Instagram
U241,76,2026-03-01 15:45:15.697972,133.18,Instagram
U242,506,2026-02-08 05:59:56.648705,145.07,WhatsApp
U243,697,2026-01-01 23:20:19.459239,231.12,Instagram
U244,652,2026-04-02 06:52:58.957734,181.31,Netflix
U245,987,2026-02-13 13:51:47.027700,114.0,Instagram
U246,735,2026-02-14 05:59:03.811375,375.46,Browsing
U247,526,2026-01-18 00:24:16.465859,283.88,Browsing
U248,398,2026-03-10 16:13:39.663961,462.45,YouTube
U249,344,2026-03-31 12:18:28.772646,105.16,Browsing
U250,211,2026-01-12 10:25:13.121736,105.82,Browsing
U251,631,2026-02-14 08:45:45.694428,404.29,Netflix
U252,20,2026-02-17 19:53:52.570159,385.74,Browsing
U253,844,2026-01-25 19:20:03.035882,116.54,Instagram
U254,660,2026-03-24 11:48:37.271843,375.89,Netflix
U255,912,2026-03-12 04:36:57.427793,96.33,YouTube
U256,505,2026-03-24 11:10:16.113135,156.95,Netflix
U257,143,2026-03-23 08:56:49.716337,372.08,Browsing
U258,204,2026-03-18 17:18:49.471050,53.55,Instagram
U259,492,2026-02-11 00:54:27.084838,279.54,WhatsApp
U260,954,2026-02-20 21:30:08.745633,359.79,WhatsApp
U261,780,2026-03-30 09:05:19.977598,161.6,Browsing
U262,842,2026-01-07 08:29:47.245996,349.42,Instagram
U263,212,2026-01-29 18:12:07.046035,467.86,YouTube
U264,685,2026-02-19 00:40:59.340410,132.99,Instagram
U265,931,2026-02-08 13:01:32.045306,494.49,Browsing
U266,350,2026-03-20 21:44:28.461815,175.78,Netflix
U267,76,2026-03-03 01:06:47.136346,101.52,YouTube
U268,220,2026-01-05 11:37:59.383499,97.74,WhatsApp
U269,593,2026-01-19 02:20:30.422518,73.53,Browsing
U270,931,2026-01-02 03:53:12.645947,215.32,WhatsApp
U271,508,2026-02-17 01:03:23.674341,112.83,Netflix
U272,526,2026-02-28 23:54:11.257450,20.73,Netflix
U273,588,2026-03-03 11:53:09.240421,285.01,Browsing
U274,449,2026-03-04 04:09:25.883497,484.97,Netflix
U275,830,2026-03-26 13:18:58.941348,224.19,Instagram
U276,462,2026-03-29 23:28:23.152874,82.49,YouTube
U277,968,2026-03-27 22:10:25.763563,60.51,Instagram
U278,987,2026-02-12 09:01:15.887570,3.59,YouTube
U279,329,2026-01-17 03:36:02.671369,16.67,Browsing
U280,243,2026-01-29 22:02:11.222614,286.78,Instagram
U281,327,2026-03-23 23:37:27.792570,451.18,Browsing
U282,997,2026-03-26 20:34:35.236842,431.37,WhatsApp
U283,87,2026-01-10 07:33:51.358507,492.22,Instagram
U284,926,2026-02-05 03:51:59.851169,96.67,Instagram
U285,117,2026-01-12 20:07:22.192731,308.22,Instagram
U286,467,2026-01-14 20:53:32.270061,402.77,Instagram
U287,233,2026-02-19 03:13:32.195440,418.05,YouTube
U288,659,2026-03-24 23:30:26.616803,288.41,Netflix
U289,69,2026-01-28 23:07:09.799789,193.52,WhatsApp
U290,79,2026-02-17 12:28:24.252006,442.64,Instagram
U291,739,2026-03-28 08:49:10.685675,468.87,Browsing
U292,623,2026-02-17 18:11:33.258932,32.96,Instagram
U293,196,2026-02-04 03:08:41.782210,249.54,WhatsApp
U294,347,2026-03-12 11:08:54.872740,171.97,WhatsApp
U295,96,2026-03-19 18:30:01.952478,420.74,YouTube
U296,311,2026-03-12 10:52:31.429644,3.1,Netflix
U297,786,2026-02-07 13:30:28.314804,50.46,Browsing
U298,595,2026-03-19 14:49:14.033962,192.75,YouTube
U299,56,2026-02-20 12:56:41.404620,10.69,WhatsApp
U300,384,2026-03-27 19:53:08.638348,164.78,Browsing
U301,957,2026-03-31 15:27:10.930137,418.45,Instagram
U302,28,2026-02-23 18:16:53.532479,266.32,YouTube
U303,808,2026-02-04 21:27:21.255662,187.86,WhatsApp
U304,145,2026-03-18 00:17:52.581208,104.75,Netflix
U305,122,2026-03-16 06:28:34.269787,229.25,YouTube
U306,810,2026-02-12 14:06:37.029906,377.92,Netflix
U307,795,2026-04-02 05:55:09.988762,424.94,Instagram
U308,705,2026-01-03 10:57:16.784140,489.58,Browsing
U309,946,2026-03-25 14:32:03.772716,186.91,WhatsApp
U310,230,2026-02-24 02:32:56.714979,290.07,WhatsApp
U311,644,2026-03-31 12:25:29.523201,180.12,Instagram
U312,990,2026-03-10 20:27:26.139254,277.95,Instagram
U313,373,2026-01-29 21:55:41.012408,97.06,Netflix
U314,747,2026-03-27 05:04:53.675732,89.33,WhatsApp
U315,566,2026-01-26 21:59:53.294207,228.42,Netflix
U316,409,2026-01-21 12:29:20.603153,406.5,YouTube
U317,14,2026-02-03 06:00:38.446838,21.2,Netflix
U318,716,2026-02-12 14:50:48.292432,159.11,Netflix
U319,679,2026-01-25 14:00:21.234812,497.44,Instagram
U320,321,2026-01-16 08:17:04.394454,316.67,Instagram
U321,708,2026-03-31 02:34:46.031017,423.16,Browsing
U322,583,2026-01-22 06:36:44.940455,482.3,Browsing
U323,75,2026-01-16 11:52:05.928319,394.25,YouTube
U324,293,2026-02-19 12:53:28.431728,135.47,Netflix
U325,342,2026-03-16 11:04:25.829649,86.42,WhatsApp
U326,183,2026-01-02 09:54:20.020674,495.54,Netflix
U327,31,2026-02-28 22:19:51.251974,329.29,Instagram
U328,272,2026-01-30 06:13:24.427929,272.06,Instagram
U329,240,2026-03-24 13:22:57.730147,384.82,Netflix
U330,86,2026-01-10 12:10:43.540054,347.69,YouTube
U331,368,2026-01-09 14:40:07.479562,2.61,Netflix
U332,644,2026-03-29 16:45:37.111597,103.52,WhatsApp
U333,323,2026-01-28 20:05:08.024500,370.52,Instagram
U334,362,2026-01-17 18:16:03.063602,165.54,WhatsApp
U335,669,2026-03-21 15:17:04.966136,222.75,WhatsApp
U336,589,2026-04-03 02:10:10.731380,20.71,Browsing
U337,830,2026-02-11 22:33:12.364419,363.72,WhatsApp
U338,453,2026-01-11 23:05:12.667814,250.55,WhatsApp
U339,909,2026-02-28 09:38:11.811165,105.51,Instagram
U340,910,2026-01-28 17:42:27.242960,79.15,YouTube
U341,665,2026-01-13 15:11:07.130471,111.32,Browsing
U342,748,2026-01-16 20:29:10.563704,352.95,Browsing
U343,51,2026-02-01 00:05:48.740508,257.26,WhatsApp
U344,415,2026-03-07 06:15:04.732929,400.51,Netflix
U345,415,2026-02-07 13:35:55.849220,488.57,Netflix
U346,780,2026-02-15 14:49:48.363664,139.32,WhatsApp
U347,604,2026-04-04 02:08:33.561410,278.27,Netflix
U348,669,2026-01-17 09:58:25.278662,389.11,YouTube
U349,947,2026-03-16 06:02:18.847531,368.72,WhatsApp
U350,78,2026-02-10 09:18:50.726610,287.88,Netflix
U351,274,2026-04-01 21:46:04.615702,155.97,Netflix
U352,213,2026-03-20 22:30:05.491584,240.55,Browsing
U353,177,2026-02-12 22:18:39.059002,62.7,WhatsApp
U354,18,2026-02-21 05:15:40.805621,50.84,WhatsApp
U355,838,2026-01-02 10:31:14.811043,473.43,Netflix
U356,160,2026-02-07 04:19:07.615333,12.97,Browsing
U357,73,2026-01-19 21:03:35.338300,148.4,WhatsApp
U358,610,2026-03-18 15:45:27.909162,233.56,Instagram
U359,974,2026-02-25 17:03:42.663800,379.58,WhatsApp
U360,679,2026-01-26 11:35:58.240559,39.58,Browsing
U361,788,2026-01-03 01:43:22.739556,145.09,Browsing
U362,932,2026-03-18 02:32:48.167266,72.95,YouTube
U363,537,2026-03-13 00:05:31.545955,294.02,Browsing
U364,472,2026-01-02 14:47:28.923811,206.08,Instagram
U365,366,2026-01-31 09:06:47.976674,343.01,WhatsApp
U366,780,2026-01-29 08:36:20.889643,186.02,Netflix
U367,215,2026-02-28 14:41:42.571025,57.36,Browsing
U368,683,2026-02-06 06:34:55.166158,115.65,Instagram
U369,584,2026-01-18 09:04:47.302769,278.45,WhatsApp
U370,249,2026-03-23 11:55:30.691534,150.16,Netflix
U371,330,2026-03-24 10:03:01.747155,436.87,YouTube
U372,250,2026-02-20 23:05:03.654435,202.83,Netflix
U373,10,2026-02-26 15:44:26.323766,343.2,Browsing
U374,227,2026-01-19 02:44:57.354037,110.93,Netflix
U375,668,2026-03-16 01:51:18.288648,361.21,Instagram
U376,511,2026-02-15 05:09:25.695544,123.52,YouTube
U377,367,2026-03-17 13:32:18.217464,235.63,WhatsApp
U378,50,2026-02-15 12:10:17.599561,133.8,Netflix
U379,708,2026-03-31 13:31:50.602257,193.11,YouTube
U380,911,2026-04-03 01:02:07.446808,40.82,Instagram
U381,99,2026-01-11 11:04:51.052415,384.47,WhatsApp
U382,753,2026-03-15 15:41:36.863217,150.95,Netflix
U383,965,2026-04-01 09:00:44.929930,209.29,Instagram
U384,342,2026-01-12 05:45:54.136030,486.01,WhatsApp
U385,291,2026-01-01 13:07:12.800583,154.08,Instagram
U386,499,2026-02-08 11:23:51.287908,109.46,Netflix
U387,157,2026-01-18 06:46:50.435243,407.35,YouTube
U388,880,2026-01-27 10:45:59.637544,304.07,Netflix
U389,270,2026-02-10 17:09:37.899796,425.57,Netflix
U390,441,2026-01-27 00:54:03.184489,1.05,Netflix
U391,793,2026-01-13 01:56:52.326573,134.39,Browsing
U392,125,2026-02-22 03:18:35.072920,247.54,YouTube
U393,490,2026-01-20 23:53:07.657595,48.95,Instagram
U394,618,2026-01-23 15:36:28.161546,416.93,Browsing
U395,281,2026-03-12 21:14:33.258549,85.79,Browsing
U396,798,2026-02-17 00:29:04.520941,122.58,Instagram
U397,565,2026-01-28 08:01:16.532902,265.99,Netflix
U398,724,2026-01-01 08:14:32.304945,183.73,Browsing
U399,753,2026-02-27 01:55:03.490523,128.46,YouTube
U400,834,2026-02-15 23:04:45.587039,344.7,Browsing
U401,157,2026-02-07 10:53:47.142304,44.35,Instagram
U402,782,2026-01-05 02:51:08.203015,496.41,Browsing
U403,2,2026-04-01 10:00:50.273367,202.9,Browsing
U404,66,2026-01-24 22:40:29.492732,398.07,Browsing
U405,710,2026-02-24 08:26:45.554303,255.12,Browsing
U406,327,2026-02-18 08:01:01.353708,325.06,Browsing
U407,417,2026-01-05 07:44:26.827409,360.47,WhatsApp
U408,25,2026-02-25 03:14:20.290236,177.63,WhatsApp
U409,346,2026-01-03 21:21:41.006939,147.44,WhatsApp
U410,359,2026-02-27 12:32:27.242091,97.04,Netflix
U411,229,2026-04-04 14:39:53.797086,185.32,WhatsApp
U412,531,2026-03-18 00:20:24.166404,444.25,Netflix
U413,98,2026-02-14 00:04:48.556785,450.59,YouTube
U414,959,2026-02-25 00:48:04.709888,242.98,Netflix
U415,524,2026-02-06 04:13:25.718677,260.79,Netflix
U416,864,2026-01-14 13:25:41.207657,186.05,WhatsApp
U417,124,2026-02-10 08:11:51.840454,172.56,Browsing
U418,403,2026-03-20 19:15:01.008244,225.38,WhatsApp
U419,846,2026-03-19 23:25:15.835063,296.59,WhatsApp
U420,456,2026-01-16 05:53:06.851509,432.11,Browsing
U421,249,2026-03-22 05:34:40.528024,372.65,YouTube
U422,528,2026-03-08 20:10:44.159454,285.54,Instagram
U423,608,2026-02-25 16:26:53.303136,324.83,WhatsApp
U424,624,2026-01-18 05:51:59.629541,178.81,YouTube
U425,444,2026-01-10 11:35:43.666238,21.7,Browsing
U426,137,2026-03-01 10:28:34.447249,197.87,Netflix
U427,740,2026-01-30 09:49:30.568279,189.38,YouTube
U428,298,2026-02-08 12:45:04.964951,189.11,Netflix
U429,885,2026-02-13 15:41:23.708834,92.22,Netflix
U430,895,2026-01-18 06:41:45.766203,108.68,Netflix
U431,294,2026-01-24 16:36:26.585509,416.75,WhatsApp
U432,269,2026-03-19 07:36:54.427216,196.7,Netflix
U433,745,2026-01-22 01:18:45.753608,374.16,Instagram
U434,632,2026-02-08 19:35:55.247251,205.8,YouTube
U435,101,2026-02-06 15:01:32.808223,189.17,WhatsApp
U436,894,2026-03-01 07:31:27.752258,410.96,YouTube
U437,360,2026-02-28 22:39:57.062370,384.82,YouTube
U438,526,2026-02-16 05:02:28.113603,2.51,Browsing
U439,66,2026-03-24 17:45:23.444660,380.85,Netflix
U440,63,2026-04-02 08:49:37.442917,39.93,Netflix
U441,821,2026-03-25 14:34:01.318967,352.2,Netflix
U442,43,2026-02-06 12:23:09.149411,454.51,Netflix
U443,858,2026-03-11 01:18:25.993270,290.11,Netflix
U444,527,2026-03-31 04:19:03.319416,133.33,Netflix
U445,168,2026-02-22 04:57:21.716363,328.7,Instagram
U446,821,2026-03-12 00:04:00.109070,22.1,Netflix
U447,904,2026-01-08 13:42:35.117120,335.95,YouTube
U448,314,2026-03-07 23:17:02.923506,407.55,Browsing
U449,324,2026-02-18 04:10:33.399309,458.06,YouTube
U450,913,2026-01-19 16:46:14.966972,92.09,WhatsApp
U451,170,2026-03-20 07:16:33.211609,256.35,Netflix
U452,315,2026-03-06 03:28:04.278421,390.88,YouTube
U453,178,2026-03-15 18:21:00.228536,210.08,WhatsApp
U454,59,2026-03-12 07:19:13.689427,330.98,Browsing
U455,710,2026-03-07 05:20:07.116096,73.15,YouTube
U456,111,2026-01-06 04:38:18.715487,283.58,WhatsApp
U457,446,2026-02-24 03:10:08.112478,318.58,YouTube
